title,watchViewCount,likeCount,unlikeCount,subscriberCount,commentCount
橋本愛用料理療癒人生 《小森食光/夏秋篇》中文正式預告 │4.10料理幸福,53077,249,2,2746,27
【寧靜咖啡館之歌】正式預告 4/24 溫柔獻映 台灣導演姜秀瓊 日本影后永作博美、新生代女星佐佐木希、永瀨正敏主演,12630,45,0,1081,2
《瘋狂麥斯：憤怒道》中文字幕電影預告片01,1454,0,0,3842,2
【瘋狂麥斯：憤怒道】首支中文官方預告，2015年5月極盡瘋狂,47970,84,10,61786,20
【瘋狂麥斯：憤怒道】電影主預告，5月15日解放自由,597998,388,21,61786,90
【瘋狂麥斯：憤怒道】45秒末世求生搶先看,4002,6,0,61786,2
【瘋狂麥斯：憤怒道】終極復仇預告 5/15 解放自由,241512,100,3,61786,27
【歌喉讚2】HD高畫質中文電影預告,33169,183,1,52317,11
【歌喉讚2】精采預告-5月15日 飆唱對決,659327,2686,28,115447,93
【歌喉讚2】歡樂預告-5月15日 飆唱對決,366759,1199,9,115447,69
【歌喉讚2】最新歡樂預告-5月15日 飆唱對決,740630,1587,32,115447,173
